vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,delayed,delivery_rating,delivery_cost
bike,same day,north,rainy,263.8,32.75,8.516105072556938,yes,2,1517.25
ev van,express,south,stormy,47.6,2.7,4.265726872987248,yes,2,296.1
truck,express,south,clear,110.1,26.55,4.683723447795248,no,5,680.15
ev bike,two day,west,rainy,262.7,46.89,8.954533509498955,no,5,1454.17
truck,express,south,hot,149.4,29.26,5.762289974790776,yes,1,884.78
ev van,two day,west,stormy,197.9,21.59,7.374239229120121,no,5,1054.27
bike,two day,south,rainy,163.5,34.77,6.037353433166899,no,3,921.81
ev van,two day,north,foggy,141.0,40.7,5.973507541694755,no,5,827.1
scooter,two day,central,cold,108.3,32.53,4.986123359147273,no,4,639.09
ev van,same day,north,rainy,288.8,21.03,8.25023612373074,yes,2,1607.09
bike,two day,east,clear,217.6,6.82,5.495259604270802,no,5,1108.46
scooter,same day,west,clear,285.8,20.51,8.063649174308317,no,4,1590.53
truck,standard,north,foggy,258.8,25.72,7.858271918290164,no,5,1371.16
truck,standard,west,stormy,14.1,31.07,3.7091828751033633,no,5,163.71
bike,same day,east,cold,260.0,24.0,7.270382752177157,no,5,1472.0
van,same day,west,stormy,27.6,45.0,4.256645377510605,no,3,373.0
ev van,two day,north,clear,282.3,48.32,8.331779730309881,no,3,1556.46
scooter,same day,central,rainy,156.4,23.79,6.2263458151638265,yes,1,953.37
ev van,standard,north,cold,90.9,8.21,3.9469093038427303,no,5,479.13
ev bike,two day,central,clear,200.3,7.19,5.5417845887345845,no,4,1023.07
ev van,express,south,cold,271.9,28.73,7.330566006668304,no,4,1495.69
ev van,two day,north,hot,297.1,1.07,7.975246912614663,no,3,1489.71
scooter,standard,south,clear,67.7,9.15,2.705932398719776,no,4,365.95
ev van,standard,east,stormy,222.8,39.1,8.733241680069227,no,4,1231.3
van,standard,north,stormy,65.1,4.5,4.257325139416072,no,3,339.0
scooter,two day,south,clear,13.1,7.52,2.1543162044476967,no,5,95.6674
ev van,standard,south,clear,50.5,49.49,3.0278621623485398,no,5,400.97
van,same day,north,rainy,230.6,33.19,7.954839225889405,yes,3,1352.57
ev bike,same day,east,cold,37.6,39.34,2.9277325115982347,no,4,406.02
truck,two day,north,clear,218.9,28.4,5.9676207204378375,no,5,1179.7
scooter,same day,south,cold,286.2,29.43,8.547530618557422,no,4,1619.29
ev van,standard,north,stormy,220.6,23.14,8.100382512926716,no,4,1172.42
ev van,standard,north,foggy,81.4,9.24,3.8068319117291516,no,5,434.72
truck,standard,east,rainy,263.6,47.52,8.60537051149128,no,5,1460.56
truck,same day,central,cold,239.1,44.6,7.564912644872145,no,5,1429.3
bike,express,south,foggy,181.4,9.47,5.633072488547911,yes,2,985.41
ev bike,standard,west,rainy,291.7,37.12,9.333065414229562,no,5,1569.86
ev van,standard,north,cold,54.2,13.06,3.3240562167662144,no,5,310.18
ev van,standard,west,stormy,3.6,39.22,3.83312531181489,no,4,134.66
truck,express,west,hot,79.3,37.23,4.32967893308925,no,5,558.19
ev van,two day,east,rainy,88.3,32.46,5.1096112423854585,no,4,538.88
ev bike,two day,south,cold,52.3,36.96,4.022704397449221,no,5,372.38
truck,express,east,clear,165.6,40.33,5.544698513864532,yes,2,998.99
ev bike,express,west,cold,32.9,27.14,2.6514392185191906,no,4,295.92
bike,two day,west,foggy,186.7,5.67,5.863753025133299,no,4,950.51
ev bike,two day,north,clear,38.1,26.93,2.465060442609446,no,4,271.29
truck,express,south,foggy,119.2,36.75,4.702019761010019,no,4,756.25
van,express,central,foggy,139.9,17.83,5.645657798028103,yes,2,802.99
truck,standard,central,rainy,49.0,46.68,4.393758814342824,no,4,385.04
ev van,standard,central,cold,289.7,24.07,7.8674830089520915,no,4,1520.71
truck,two day,west,stormy,30.0,14.86,3.47906418475908,no,4,194.58
van,standard,north,clear,60.5,45.66,3.798122960450937,no,4,439.48
van,standard,south,cold,115.9,24.26,4.22460406083699,no,5,652.28
truck,express,south,foggy,245.4,3.38,7.369822158450859,yes,2,1287.14
truck,express,south,hot,164.0,14.75,4.85536565732695,yes,2,914.25
scooter,standard,east,clear,107.7,9.49,3.6701135887712004,no,4,566.97
truck,same day,north,foggy,142.8,44.05,5.9490475817580935,no,4,946.15
scooter,same day,west,hot,256.1,15.3,7.2366861390999295,no,5,1426.4
ev van,same day,east,foggy,132.6,23.94,4.956265147411061,no,3,834.82
truck,two day,north,clear,70.9,20.05,3.6294401725965475,no,5,414.65
ev van,two day,central,cold,63.2,23.39,3.262754574036356,no,5,386.17
van,express,south,stormy,252.7,25.7,8.729693315310975,yes,2,1390.6
van,two day,east,stormy,75.7,18.18,4.892510071824642,no,3,433.04
scooter,same day,east,rainy,160.7,8.84,6.085649991208114,no,4,930.02
truck,standard,south,foggy,209.6,38.02,6.9941999899720075,no,5,1162.06
truck,express,south,cold,46.9,19.87,3.022519434084125,no,4,344.11
truck,standard,east,rainy,6.9,40.42,3.106381490580822,no,5,155.76
ev van,two day,north,rainy,296.8,22.56,8.74850961746598,no,4,1551.68
truck,same day,west,cold,244.4,49.52,7.623809598354233,yes,1,1471.49
ev bike,two day,west,foggy,284.0,49.0,8.284685172337987,no,5,1567.0
bike,standard,east,foggy,170.4,45.85,6.800159281415521,no,5,989.55
van,same day,central,clear,68.1,26.6,3.0263534062263546,no,5,520.3
ev bike,same day,east,rainy,157.1,6.61,5.511153485912932,yes,2,905.33
van,same day,south,cold,228.9,27.2,6.567700344052442,yes,2,1326.1
ev bike,express,west,cold,179.8,20.22,5.4258325980866,yes,2,1009.66
truck,standard,west,cold,142.9,3.67,4.44750429091666,no,3,725.51
van,two day,west,hot,168.0,24.34,5.475847494393107,no,4,913.02
truck,express,east,hot,67.7,37.28,3.7827333473725275,yes,3,500.34
ev van,two day,west,cold,117.1,32.38,5.26321650145688,no,4,682.64
ev bike,express,central,clear,136.6,40.25,4.977981452445959,yes,1,853.75
ev van,express,west,rainy,228.4,46.49,8.12717042078304,yes,2,1331.47
bike,express,west,clear,160.5,38.37,5.859865386595425,yes,2,967.61
ev bike,standard,west,cold,135.2,30.03,4.968680002935376,no,5,766.09
ev van,same day,central,stormy,285.9,32.4,9.069513610206709,yes,2,1626.7
ev van,two day,central,cold,63.8,29.7,3.5367766759509323,no,4,408.1
truck,express,south,stormy,243.1,12.23,8.209716793860965,yes,1,1302.19
van,standard,west,stormy,3.6,6.97,3.342686492569559,no,5,95.6674
truck,standard,west,hot,118.2,31.31,5.116867998413351,no,4,684.93
ev van,standard,east,cold,58.8,49.52,4.4487278932515935,no,5,442.89
ev van,express,east,cold,144.7,13.82,4.951451456465877,yes,3,814.96
ev van,express,central,foggy,148.3,40.66,5.89451199110222,yes,2,913.48
ev van,same day,central,stormy,117.7,24.36,6.153943282013334,yes,3,761.58
truck,express,central,stormy,17.3,30.38,4.403778289711996,yes,3,227.64
scooter,express,south,rainy,70.1,24.16,4.037536402675291,yes,2,472.98
bike,standard,south,stormy,79.1,15.54,5.225582886578902,no,5,442.12
ev van,same day,north,foggy,139.9,45.59,6.171433089988976,no,4,936.27
bike,express,central,hot,127.6,17.01,5.033722144286417,no,4,739.03
bike,same day,west,cold,61.3,6.4,3.1308595923816345,no,4,425.7
van,standard,central,hot,182.9,17.63,5.504161838500151,no,5,967.39
ev bike,same day,west,rainy,141.4,32.97,6.124832447763617,no,3,905.91
ev bike,two day,south,cold,67.1,24.38,3.663754500842742,no,3,408.64
scooter,same day,south,rainy,24.1,12.31,3.565556068394442,no,5,257.43
truck,express,south,foggy,37.7,48.03,3.3705904520476815,yes,2,382.59
ev van,same day,west,stormy,22.0,28.89,4.289004954874204,no,4,296.67
ev bike,two day,east,stormy,13.8,47.17,4.186295863017873,no,3,210.51
ev van,same day,central,hot,29.9,32.75,2.8620517726863266,no,5,347.75
ev bike,same day,west,foggy,102.6,2.23,4.322250132387293,no,3,619.69
bike,two day,south,stormy,160.0,35.82,6.547302530548344,no,4,907.46
scooter,express,central,hot,142.2,20.76,5.16952928805974,yes,3,823.28
scooter,standard,east,stormy,270.5,29.7,8.727836557713886,no,4,1441.6
bike,two day,south,hot,271.6,31.02,8.08841873374601,no,4,1451.06
ev van,express,south,cold,55.9,44.06,3.4004345388539665,no,5,461.68
ev bike,express,west,cold,260.3,1.73,7.387616898680875,no,4,1356.69
ev van,same day,north,stormy,169.6,29.8,7.202643108713155,yes,3,1037.4
scooter,standard,west,cold,221.7,3.46,6.23839413423909,no,5,1118.88
ev van,express,north,foggy,237.5,8.16,7.278910246764361,yes,3,1261.98
ev van,same day,west,stormy,121.3,22.82,5.397804366373923,yes,2,774.96
bike,same day,west,clear,128.0,38.49,5.080722443375815,no,5,855.47
ev van,standard,east,clear,226.7,6.7,5.810416650950959,no,4,1153.6
bike,two day,north,foggy,247.1,1.6,7.221575093698081,no,4,1240.3
van,express,east,stormy,132.3,23.61,6.336449891697907,yes,2,782.33
scooter,two day,central,foggy,74.8,6.48,3.6411977276296077,no,4,393.44
truck,two day,south,stormy,201.2,24.68,7.833234574473584,no,5,1080.04
bike,same day,central,rainy,234.1,3.67,7.441016608946409,yes,2,1281.51
ev van,two day,north,clear,229.7,42.49,7.440696238209471,no,4,1275.97
van,standard,central,hot,117.8,11.25,3.976551481268836,no,5,622.75
ev van,express,south,rainy,55.5,20.76,4.310037665139154,yes,3,389.78
van,standard,west,rainy,150.6,13.29,5.355163533063809,no,5,792.87
truck,express,south,cold,85.6,32.7,4.419600062185975,yes,2,576.1
ev bike,same day,west,clear,95.2,7.03,3.2423475506683106,no,4,597.09
ev van,same day,west,foggy,205.8,15.64,6.259742819030665,no,5,1175.92
van,standard,east,stormy,97.6,14.86,5.745062658025066,no,4,532.58
truck,standard,central,cold,241.1,49.52,7.839626035900863,no,5,1354.15
scooter,two day,central,foggy,118.5,41.86,4.923094127291668,no,3,718.08
bike,express,north,rainy,51.9,13.36,3.767046008073101,yes,2,349.58
ev van,express,central,rainy,136.2,32.98,5.501235323369486,yes,2,829.94
truck,same day,west,cold,105.7,42.43,4.728195487804723,no,5,755.79
van,standard,east,rainy,96.7,36.35,5.290885647933823,no,5,592.55
ev bike,express,north,hot,60.7,37.52,3.242469085975461,no,5,466.06
ev bike,same day,west,cold,72.7,49.31,4.689950336632523,no,3,611.43
ev van,standard,south,hot,226.5,39.45,7.22482657289534,no,3,1250.85
van,two day,north,stormy,229.6,2.07,7.879720446494124,no,4,1154.21
bike,same day,north,stormy,127.5,22.02,5.614672117856436,yes,2,803.56
van,two day,north,foggy,87.5,30.9,3.9211033392343,no,4,530.2
van,same day,south,stormy,187.6,49.52,7.276762076175469,yes,3,1187.04
scooter,two day,north,hot,198.4,25.57,6.663396636250256,no,3,1068.71
truck,express,central,hot,165.6,45.94,5.699303438956167,no,5,1015.82
van,same day,south,clear,226.5,10.09,6.38386105969199,no,5,1262.77
ev van,two day,east,rainy,126.8,20.31,5.1247238258894,no,4,694.93
bike,two day,west,hot,195.1,11.22,6.0487696192897005,no,5,1009.16
ev bike,two day,north,foggy,154.3,36.21,6.03196533933958,no,3,880.13
truck,express,south,foggy,96.4,38.31,4.543675316588233,yes,3,646.93
scooter,same day,north,cold,40.2,12.63,2.668623734615975,no,5,338.89
van,same day,east,clear,57.6,32.0,2.795965090635509,no,5,484.0
ev van,standard,central,cold,147.8,36.12,5.1433539807604625,no,4,847.36
van,express,east,stormy,60.8,49.11,4.840404491976858,yes,3,501.33
truck,same day,east,cold,288.8,2.8,7.634676449296377,yes,3,1552.4
truck,same day,north,foggy,109.1,31.92,4.984984806920206,no,5,741.26
ev van,same day,central,hot,47.4,35.95,2.9284261863022563,no,3,444.85
truck,same day,east,rainy,279.9,19.78,8.82625118851334,yes,1,1558.84
ev van,same day,east,hot,251.9,11.45,6.618669963621352,no,5,1393.85
ev van,same day,east,rainy,76.1,0.67,4.441678054070339,no,5,482.36
bike,same day,east,cold,200.8,40.92,6.184046582452853,no,4,1226.76
ev van,express,north,stormy,216.9,5.18,7.150467150478986,yes,1,1150.04
ev van,standard,east,hot,148.8,11.66,4.464838188228165,no,5,778.98
bike,same day,east,cold,176.9,35.44,5.55653511293907,no,3,1090.82
van,express,west,clear,253.1,36.29,6.954132799651207,no,4,1424.37
scooter,two day,east,foggy,147.6,3.79,4.722610809601984,no,3,749.37
ev van,two day,central,stormy,137.6,40.72,6.068403172540308,no,4,810.16
van,express,west,clear,222.5,30.97,7.037209426367902,yes,2,1255.41
scooter,standard,north,clear,283.2,2.88,7.485031567086285,no,4,1424.64
bike,standard,central,stormy,276.9,42.67,9.415868178767749,no,4,1512.51
ev bike,same day,east,rainy,185.3,32.53,7.266194552989289,yes,1,1124.09
bike,two day,west,foggy,164.1,34.84,5.970404376618121,no,3,925.02
scooter,two day,south,hot,188.3,48.65,6.5039690023596926,no,3,1087.45
truck,two day,west,hot,18.1,15.4,2.542868391214145,no,4,136.7
bike,standard,central,cold,267.1,39.85,7.874174303245586,no,5,1455.05
scooter,standard,north,clear,12.0,47.24,2.35045341393064,no,4,201.72
ev van,two day,west,clear,22.6,12.51,2.1452662157087206,no,4,150.53
van,same day,west,clear,12.8,33.34,2.538145199122329,no,4,264.02
scooter,two day,south,hot,219.0,24.65,6.795314615084938,no,3,1168.95
ev van,two day,south,clear,84.8,34.22,4.279437356285847,no,4,526.66
bike,same day,east,foggy,123.2,31.12,5.4880434162889005,no,5,809.36
scooter,express,east,clear,75.2,24.06,3.3594428236016816,no,4,498.18
ev van,same day,east,hot,276.8,25.71,7.606822310833065,yes,2,1561.13
ev bike,same day,central,hot,297.1,8.16,7.796934057379394,no,5,1617.48
van,two day,central,stormy,132.5,45.76,6.3136327986948055,no,4,799.78
ev van,two day,central,cold,245.2,18.16,7.537059618078122,no,4,1280.48
truck,standard,east,stormy,76.6,25.39,5.1007906354309895,no,4,459.17
ev bike,two day,west,hot,195.0,28.92,6.521156408846057,no,5,1061.76
ev van,same day,north,foggy,40.7,17.5,2.879424756096445,no,5,356.0
truck,same day,north,cold,259.3,4.99,7.126371150385111,yes,3,1411.47
van,express,west,foggy,129.7,6.4,4.4376739454915235,yes,3,717.7
truck,express,west,rainy,217.6,21.67,7.656398500063447,yes,3,1203.01
bike,two day,north,stormy,192.6,36.18,7.919812204068494,no,5,1071.54
van,standard,west,rainy,234.7,7.9,7.094715888649724,no,4,1197.2
ev bike,same day,west,hot,114.0,48.07,4.529821019973638,no,4,814.21
van,two day,west,stormy,181.2,31.93,7.219013376158521,no,5,1001.79
ev bike,two day,east,foggy,183.8,43.11,6.539258554160145,no,4,1048.33
van,standard,west,clear,60.6,37.25,3.003601539072503,no,4,414.75
scooter,standard,west,foggy,56.9,17.78,3.267070074732281,no,3,337.84
bike,same day,east,stormy,213.2,32.71,8.403485179812956,yes,1,1264.13
truck,standard,east,stormy,70.7,49.52,5.372811815068119,no,5,502.6
scooter,two day,west,clear,188.4,1.26,5.215796010319319,no,3,945.78
van,two day,north,clear,288.2,49.06,8.206472656440177,no,4,1588.18
truck,two day,central,hot,82.0,47.01,4.659199872884841,no,4,551.03
bike,express,central,rainy,263.4,17.03,7.857531332463705,yes,2,1418.09
van,express,east,cold,158.0,24.7,5.3622416872485275,yes,2,914.1
scooter,same day,central,rainy,176.8,21.14,6.804114650154644,yes,2,1047.42
scooter,standard,west,foggy,81.2,22.03,4.400075023747427,no,5,472.09
ev van,same day,east,cold,277.8,10.34,7.435841156791903,yes,2,1520.02
ev van,two day,east,clear,213.7,35.4,6.38500203079748,no,5,1174.7
scooter,standard,west,cold,213.1,12.16,6.124427097462202,no,4,1101.98
ev van,standard,south,clear,257.0,7.15,7.208827359130787,no,3,1306.45
scooter,express,east,rainy,34.1,0.67,3.111440429637081,yes,2,221.43
van,two day,east,rainy,31.1,2.08,3.5991810254432295,no,4,161.74
ev van,express,east,hot,25.7,38.1,3.206217156302258,no,5,292.8
bike,same day,east,stormy,264.7,29.3,9.194137486732586,yes,2,1511.4
van,two day,north,foggy,270.7,2.01,7.42991799010057,no,5,1359.53
ev bike,express,west,stormy,129.1,47.72,6.655246713450447,yes,2,838.66
ev van,standard,east,stormy,200.2,16.98,7.42691449947552,no,3,1051.94
ev van,two day,north,hot,254.8,45.44,7.89415396033101,no,5,1410.32
ev van,express,south,foggy,108.6,29.53,4.655414479432101,yes,1,681.59
ev van,same day,east,cold,79.7,36.7,3.7863684288264756,no,5,608.6
van,two day,west,foggy,290.3,46.6,8.9192753818441,no,5,1591.3
scooter,two day,south,cold,58.5,45.46,3.5041409996821553,no,5,428.88
van,two day,central,hot,150.9,24.13,5.233392872921619,no,4,826.89
bike,express,west,foggy,177.1,3.04,5.409210179406432,yes,1,944.62
bike,same day,north,rainy,113.4,48.98,5.7510871774636385,yes,2,813.94
ev van,express,north,stormy,148.1,18.93,6.4094064099097645,yes,2,847.29
scooter,same day,west,clear,242.3,17.41,6.2507019128985135,yes,2,1363.73
truck,express,east,foggy,216.2,33.47,6.702409649658595,yes,2,1231.41
scooter,two day,north,stormy,238.8,37.83,8.549447499457461,no,5,1307.49
truck,two day,central,foggy,85.5,29.9,4.804734426797269,no,5,517.2
van,two day,north,clear,80.3,38.27,3.8530101010326776,no,5,516.31
bike,express,east,stormy,75.8,2.76,4.719293760163691,yes,3,437.28
van,two day,north,cold,161.0,42.34,6.114978254708737,no,4,932.02
ev bike,standard,central,foggy,49.3,26.85,3.1101514569746826,no,4,327.05
ev bike,same day,east,foggy,289.6,15.87,7.616610292771073,yes,2,1595.61
scooter,standard,west,hot,246.4,10.61,6.789000812672139,no,5,1263.83
scooter,same day,central,clear,295.1,29.9,8.180144273999153,no,5,1632.7206
ev bike,two day,south,cold,74.2,36.7,4.387164066520457,no,5,481.1
van,two day,south,foggy,194.5,38.21,7.0644621074312965,no,5,1087.13
bike,express,west,hot,272.2,23.97,7.500444010108705,yes,2,1482.91
bike,two day,central,rainy,133.0,7.39,5.1249050484087375,no,5,687.17
van,standard,north,rainy,145.9,23.61,6.207312789555209,no,3,800.33
scooter,same day,east,hot,13.1,23.98,2.1598370458345553,no,4,237.44
bike,express,south,rainy,287.2,0.92,7.781322577923063,yes,2,1488.76
ev bike,standard,north,hot,222.8,26.94,6.6472551607061945,no,3,1194.82
van,two day,north,hot,290.0,29.57,7.637954149412647,no,5,1538.71
ev bike,two day,east,hot,67.6,34.15,4.146362101982076,no,5,440.45
bike,standard,north,hot,232.0,2.81,6.155026692586648,no,5,1168.43
van,express,west,foggy,63.3,11.12,3.305921018760705,yes,2,399.86
van,same day,north,cold,46.4,29.39,3.536824179305361,no,4,420.17
truck,standard,east,cold,275.1,39.7,8.107242500941513,no,5,1494.6
ev van,express,south,foggy,39.3,8.66,3.233292237274975,no,5,272.48
van,standard,east,clear,201.9,19.55,5.937905003815949,no,3,1068.15
van,standard,north,clear,125.4,26.51,4.308760940209741,no,3,706.53
ev van,standard,north,foggy,279.1,26.1,7.7485521504383605,no,5,1473.8
van,same day,south,clear,155.3,30.92,5.524039322662494,no,5,969.26
van,same day,west,cold,192.5,23.99,5.7618158915846625,no,4,1134.47
bike,express,east,foggy,228.8,25.86,7.454548728498221,yes,1,1271.58
ev bike,standard,south,foggy,106.1,11.82,4.7019174891762034,no,4,565.96
bike,two day,east,stormy,282.0,1.58,8.558856074353068,no,4,1414.74
scooter,same day,central,cold,23.2,41.33,3.2909077786938568,no,4,339.99
van,two day,central,stormy,39.5,21.15,3.7384081379048544,no,5,260.95
van,two day,east,hot,200.4,15.43,6.093356572927078,no,3,1048.29
bike,same day,east,stormy,131.0,45.38,6.581219610033989,yes,2,891.14
truck,standard,south,foggy,103.3,18.26,4.758156017413473,no,5,571.28
ev van,two day,west,clear,227.1,32.15,6.700347108892117,no,5,1231.95
bike,standard,central,hot,230.4,3.05,6.130451199643767,no,3,1161.15
van,same day,central,foggy,261.0,21.29,8.122164667296172,yes,2,1468.87
truck,standard,south,cold,52.8,5.85,3.0830790451675227,no,4,281.55
scooter,two day,west,clear,243.5,49.52,7.600315367455858,no,4,1367.2
truck,two day,north,cold,202.6,38.99,6.9011916606415955,no,5,1129.97
van,two day,north,hot,256.0,15.59,6.923455638123922,no,5,1326.77
bike,express,west,rainy,179.0,46.13,7.096357568988481,yes,2,1083.39
ev van,same day,east,stormy,264.8,47.78,9.66128622714754,yes,3,1567.34
ev van,standard,south,hot,232.9,17.78,6.864098436585903,no,5,1217.84
van,two day,east,hot,279.5,28.98,7.70286798130604,no,4,1484.44
bike,standard,east,rainy,194.8,21.29,7.285903984019917,no,5,1037.87
bike,two day,south,hot,124.3,41.07,5.444022289195583,no,5,744.71
ev van,standard,east,clear,119.7,1.61,4.348758880881871,no,4,603.33
ev van,express,north,clear,122.5,2.08,4.466639361804066,no,5,668.74
van,same day,west,foggy,203.9,48.38,6.69120907642445,yes,3,1264.64
ev van,two day,central,clear,101.2,27.88,3.751147735082996,no,4,589.64
scooter,same day,east,stormy,4.2,18.49,3.0790354634948702,no,4,176.47
van,express,west,rainy,30.5,24.51,3.922779089561104,yes,2,276.03
bike,express,west,rainy,238.9,39.9,8.205420474581377,yes,3,1364.2
truck,same day,east,stormy,277.0,9.35,8.986963535509831,yes,1,1513.05
ev bike,express,central,cold,22.4,23.14,3.0973589718120444,yes,2,231.42
ev van,standard,south,clear,98.3,40.61,4.216578928109059,no,4,613.33
ev bike,same day,west,rainy,158.5,21.51,6.415907848021566,no,5,957.03
truck,express,south,foggy,230.5,39.47,7.840324804172526,yes,3,1320.91
ev bike,two day,south,clear,209.6,32.51,5.908365887778683,no,3,1145.53
truck,standard,east,rainy,296.8,17.15,8.366758353926608,no,4,1535.45
van,same day,west,foggy,175.8,47.09,6.710491589255044,yes,1,1120.27
truck,two day,east,foggy,126.8,28.86,4.8133645970298335,no,4,720.58
scooter,two day,central,stormy,272.9,31.0,8.988769486602484,no,3,1457.5
bike,same day,south,cold,89.9,6.54,3.674851627157289,no,3,569.12
ev bike,two day,east,rainy,64.0,19.94,4.66932963856361,no,4,379.82
van,express,east,rainy,82.1,17.86,4.958211707794603,yes,2,514.08
ev van,express,west,cold,93.7,5.47,4.278537284030488,no,3,534.91
bike,two day,east,foggy,144.3,13.61,5.483184339795397,no,4,762.33
van,standard,east,clear,87.5,28.99,3.762182800419537,no,4,524.47
scooter,two day,north,cold,255.7,42.66,7.67368313788061,no,4,1406.48
ev van,same day,north,stormy,297.1,48.4,10.241303854804515,yes,2,1632.7206
van,same day,north,cold,289.5,44.72,8.51492190095944,yes,2,1632.7206
truck,standard,west,cold,205.0,18.06,6.550483101574436,no,5,1079.18
bike,same day,south,stormy,210.5,41.08,8.480769253496607,yes,3,1275.74
truck,express,east,hot,16.4,42.28,2.865673320059943,no,4,258.84
van,standard,east,clear,146.6,48.54,4.950763303495913,no,5,878.62
truck,same day,south,stormy,181.0,44.24,7.6141590295734165,no,3,1137.72
truck,two day,north,clear,274.3,5.66,7.460371978162672,no,4,1388.48
bike,same day,east,clear,26.9,43.96,2.520813827257624,no,5,366.38
bike,standard,south,hot,154.0,0.73,4.551518617760693,no,3,772.19
bike,express,east,clear,130.2,25.49,4.961017678749601,yes,2,777.47
scooter,same day,west,clear,46.1,35.61,2.8309155651040214,no,4,437.33
ev bike,same day,west,foggy,287.9,28.89,8.005556072259454,yes,3,1626.17
scooter,same day,east,foggy,275.9,21.27,7.6531814441610075,yes,1,1543.31
ev van,standard,central,cold,44.4,41.63,3.9994516247031675,no,4,346.89
bike,two day,central,hot,74.7,25.13,3.9793803315067233,no,4,448.89
truck,standard,west,clear,171.9,40.31,5.805077221477429,no,3,980.43
ev bike,two day,central,clear,77.4,3.69,3.411813159415569,no,3,398.07
bike,express,central,cold,204.0,8.15,6.395992999181745,no,3,1094.45
truck,two day,central,hot,240.3,30.4,6.681036405490437,no,5,1292.7
bike,standard,north,hot,126.2,28.72,4.355073829740757,no,4,717.16
ev bike,same day,west,rainy,287.4,9.07,8.527518935154877,yes,2,1564.21
van,two day,north,cold,46.0,44.34,3.4364177331330477,no,5,363.02
ev van,two day,south,foggy,61.9,6.52,3.3671408566155643,no,4,329.06
truck,express,west,clear,217.1,8.53,6.226345589799193,yes,3,1161.09
scooter,express,east,cold,161.5,38.07,5.8382516680960235,yes,1,971.71
bike,two day,west,clear,187.4,17.39,5.521032437962568,no,5,989.17
bike,same day,south,clear,162.2,20.17,5.020502247553215,no,3,971.51
bike,two day,central,foggy,260.8,49.52,7.89084479640483,no,3,1453.52
scooter,standard,south,hot,115.0,22.23,4.758087767179947,no,4,641.69
ev bike,express,west,stormy,19.1,5.15,3.017086139527384,yes,2,160.95
van,express,west,clear,205.7,46.21,6.249701116295486,yes,1,1217.13
bike,express,north,cold,153.8,28.82,5.80709306278139,yes,2,905.46
bike,two day,central,stormy,184.2,12.36,6.880824847912452,no,4,958.08
van,two day,west,cold,71.3,4.45,3.2168903009018286,no,4,369.85
scooter,same day,north,stormy,237.0,21.71,8.056302134106277,yes,3,1350.13
ev bike,standard,south,rainy,19.9,46.5,3.653668564518034,no,5,239.0
van,express,north,clear,60.0,25.22,3.147699467073843,yes,2,425.66
bike,express,east,hot,3.6,23.52,2.143149961870867,yes,2,137.56
scooter,same day,north,clear,207.2,22.45,6.4128945724243325,no,5,1203.35
van,express,west,cold,230.1,13.63,6.579136100725587,yes,2,1241.39
bike,same day,north,hot,162.6,22.17,5.134244485390579,no,5,979.51
bike,two day,west,foggy,54.5,7.79,3.391164647044366,no,4,295.87
ev van,same day,west,stormy,15.4,43.4,4.1397832059358555,no,3,307.2
van,two day,south,foggy,88.5,13.12,4.207967628768543,no,4,481.86
ev bike,express,south,clear,116.4,16.51,3.96180197100041,no,3,681.53
ev van,same day,west,cold,142.7,32.06,5.471947674708059,no,5,909.68
bike,express,central,hot,228.9,22.98,6.430540167923533,no,4,1263.44
ev bike,express,central,cold,283.0,42.46,8.526063304445628,yes,2,1592.38
ev bike,express,west,stormy,241.2,1.5,7.480146070920224,yes,3,1260.5
bike,same day,south,cold,106.0,14.54,3.8947242415658274,no,5,673.62
scooter,same day,south,clear,6.8,21.6,1.7396305352741663,no,4,198.8
bike,same day,north,stormy,292.4,23.87,9.435370428252373,yes,3,1632.7206
bike,two day,north,cold,204.3,49.52,6.962215651470686,no,4,1170.09
scooter,same day,north,foggy,97.1,14.87,4.233241537779353,no,3,630.11
scooter,same day,west,foggy,279.4,42.71,8.600683107950093,yes,2,1625.13
ev van,two day,east,hot,28.2,8.01,2.357595821528199,no,5,165.03
scooter,standard,east,foggy,103.7,35.48,4.540990943857284,no,4,624.94
ev bike,standard,south,clear,150.2,39.24,5.413476886663247,no,4,868.72
bike,standard,north,rainy,84.8,10.62,4.8458639794727425,no,3,455.86
truck,standard,east,cold,35.4,5.83,2.4458840960508077,no,5,194.49
ev bike,standard,east,rainy,38.3,27.66,3.978572777564519,no,4,274.48
bike,standard,north,rainy,199.2,33.94,7.401249042603686,no,3,1097.82
van,same day,west,foggy,290.1,45.68,8.268971166350065,yes,2,1632.7206
ev van,same day,south,foggy,295.5,30.86,8.394477717091382,yes,2,1632.7206
truck,same day,east,cold,142.8,19.4,5.08020874818917,no,3,872.2
ev bike,two day,south,hot,229.8,45.61,7.308578938363164,no,4,1285.83
van,two day,north,hot,63.8,23.35,3.2534423115102,no,5,389.05
scooter,express,central,clear,208.1,8.85,6.0868296358772795,yes,2,1117.05
van,standard,west,cold,137.3,48.07,5.870361916081096,no,4,830.71
van,express,south,foggy,193.9,23.14,6.391699912938799,yes,2,1088.92
ev van,two day,south,clear,10.5,17.71,1.8003905466694672,no,4,105.63
van,two day,north,rainy,229.1,42.37,7.4511647839689985,no,4,1272.61
truck,standard,west,stormy,168.2,48.11,7.171246190192055,no,3,985.33
